  0.20  0.02  0.04  0.03  0.04
  0.22  0.07  0.11  0.14  0.20
  0.24  0.09  0.2   0.18  0.30
  0.26  0.19  0.4   0.37  0.5
  0.28  0.35  0.7   0.59  1.19
  0.30  0.76  1.36  1.21  2.15
  0.32  1.10  1.90  1.61  2.83
  0.34  1.33  2.11  1.91  3.01
  0.36  1.46  2.30  2.03  3.20
  0.37  1.57  2.50  2.33  3.62
  0.38  1.46  2.85  2.14  4.1
  0.39  1.53  3.10  2.20  4.4
  0.40  2.05  3.25  2.9   4.58
  0.41  2.46  3.30  3.43  4.60
  0.42  2.47  3.35  3.42  4.59
  0.43  2.46  3.36  3.35  4.55
  0.44  2.66  3.38  3.58  4.54
  0.45  2.90  3.40  3.86  4.48
  0.46  2.93  3.35  3.88  4.40
  0.48  2.86  3.30  3.73  4.31
  0.50  2.83  3.19  3.63  4.08
  0.55  2.72  2.94  3.40  3.68
  0.60  2.58  2.67  3.16  3.27
  0.65  2.31  2.42  2.78  2.88
  0.70  2.10  2.13  2.50  2.53
  0.75  1.88  1.91  2.22  2.24
  0.8   1.69  1.70  1.96  1.97
  0.9   1.33  1.36  1.53  1.55
  1.0   1.08  1.09  1.21  1.23
  1.2   0.73  0.74  0.81  0.81
  1.4  0.512  0.512  0.564  0.564
  1.6  0.375  0.375  0.403  0.403
  1.8  0.248  0.248  0.268  0.268
  2.0  0.171  0.171  0.183  0.183
  2.5  0.0756  0.0756  0.081  0.081
  3.0  0.0386  0.0386  0.041  0.041
  4.0  0.0130  0.0130  0.0135  0.0135
  5.0  0.0055  0.0055  0.0057  0.0057
  
  
    

